project_code	submitter_sample_id	ega_sample_id	ega_analysis_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
PRAD-CA	CPCG0251-F1	EGAN00001220685	EGAZ00001224679	CPCG/100PG/bam/CPCG0251-F1.bam	EGAF00001213965	8835c8c7ab13fc1e2bf17fa54f33d9c8	e2a81463d12bf9a134250f2310860d6e	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0256-F1	EGAN00001220689	EGAZ00001224682	CPCG/100PG/bam/CPCG0256-F1.bam	EGAF00001213968	9d85c3fe5275ddf31ebfd25f99d7d4fa	399c88645ad3008f245d965d012a9059	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0258-F1	EGAN00001220691	EGAZ00001224683	CPCG/100PG/bam/CPCG0258-F1.bam	EGAF00001213969	24f96cf28868ed3cc90d4fffa5d5895e	db390076972f987c83c28726b6c59a5a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0262-F1	EGAN00001220697	EGAZ00001224686	CPCG/100PG/bam/CPCG0262-F1.bam	EGAF00001213972	4e691fd173600d523b146a2a3f46183b	99715a72b37b5f0271f738031e5d0c14	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0263-F1	EGAN00001220699	EGAZ00001224688	CPCG/100PG/bam/CPCG0263-F1.bam	EGAF00001213974	eda8029e7b6a06fd08bbea31fd864ae5	61d74464a7dda9962d17160ea8ecd28e	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0265-F1	EGAN00001220701	EGAZ00001224690	CPCG/100PG/bam/CPCG0265-F1.bam	EGAF00001213976	33cdb2c08c70c943c5a25dfc7a10d4f6	bda7c9b683390aa5805c0a83037947d5	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0266-F1	EGAN00001220703	EGAZ00001224691	CPCG/100PG/bam/CPCG0266-F1.bam	EGAF00001213977	e9b48b898dc7bc19d66c5cde7e32b319	d110ae0ce744c1fd25f9e9ce0cbce644	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0267-F1	EGAN00001220705	EGAZ00001224692	CPCG/100PG/bam/CPCG0267-F1.bam	EGAF00001213978	c95ea0095e59486a4872040536065599	20dc5cec756d391c5a7bbfc597d13980	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0324-F1	EGAN00001220711	EGAZ00001224696	CPCG/100PG/bam/CPCG0324-F1.bam	EGAF00001213982	1fbede4875c3a0d3bccee898ff2cbeff	44e8a82daabe784a55fc0fb6b09ab34a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0341-F1	EGAN00001220723	EGAZ00001254632	CPCG/100PG/bam/CPCG0341-F1.bam	EGAF00001430122	0dfcad2e1a8420e031afb768bc9ee8a8	667653db8c287a520eda9f27a8f2ce66	EGAD00001003139
PRAD-CA	CPCG0344-F1	EGAN00001220727	EGAZ00001254633	CPCG/100PG/bam/CPCG0344-F1.bam	EGAF00001430121	780b2ef0dd8c98069964cea6c1bbbd1f	53cb27f47a9ccb1e9a7cebaefcd4571f	EGAD00001003139
PRAD-CA	CPCG0345-F1	EGAN00001220729	EGAZ00001224699	CPCG/100PG/bam/CPCG0345-F1.bam	EGAF00001213985	829ca70070519fe9d6e309a7f555f35b	8f513ba8e5fff131f0a82d487c8796be	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0346-F1	EGAN00001220731	EGAZ00001254635	CPCG/100PG/bam/CPCG0346-F1.bam	EGAF00001430119	b8892fdd85b5e13ab354ef136e726326	df0301177f32b520089399fb396b3a13	EGAD00001003139
PRAD-CA	CPCG0348-F1	EGAN00001220733	EGAZ00001254636	CPCG/100PG/bam/CPCG0348-F1.bam	EGAF00001430118	8ced8d04ea3efa7df6f0c5ebbd7e49b5	3a3e229240c894e0d43a5fa6c39c548e	EGAD00001003139
